No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
1681,【スカッとする話】同窓会に行った夫が10分で帰宅。夫「同級生に中卒の低所得は帰れって」”僕は無能♡”と落書きされたカバン。グループ25社会長の私は即電話。私「社長？契約解除で」実はw【朗読】,https://www.youtube.com/watch?v=BjaRlXbjvT4,5.8万回視聴 / 6 か月前,心温まる物語 5715,https://www.youtube.com/channel/UCp5XuGGZyQWEBrJpOq-DHdw,3 週間前,840回視聴,【スカッとする話】同窓会に行った夫が10分で帰宅。夫「同級生に中卒の低所得は帰れって」”僕は無能♡”と落書きされたカバン。グループ25社会長の私は即電話。私「社長？契約解除で」実はw【朗読】,https://www.youtube.com/watch?v=EAJ_PwlLEmg,100%
1682,【スカッとする話】大手銀行で5時間待たされた。私「30億おろします」銀行員「残高300円じゃねーか底辺ババァw」私「貸金庫のお金30億他に移すわ」,https://www.youtube.com/watch?v=-4yhJ5v7T4s,1.7万回視聴 / 1 年前,心温まる物語 5715,https://www.youtube.com/channel/UCp5XuGGZyQWEBrJpOq-DHdw,3 週間前,60回視聴,【スカッとする話】大手銀行で5時間待たされた。私「30億おろします」銀行員「残高300円じゃねーか底辺ババァw」私「貸金庫のお金30億他に移すわ」,https://www.youtube.com/watch?v=BDesDtjgN10,100%
1683,【スカッとする話】夫と車椅子で株主総会に行くと営業部長「歩けないゴミ女は帰れ」夫「誰に向かって口聞いてんだ？」営業部長「知らねぇよw早く失せろ」翌日、営業部長が泣きついてきて…w【朗読】【スカッと】,https://www.youtube.com/watch?v=DJpXC4yHd7E,2.8万回視聴 / 6 か月前,心温まる物語 5715,https://www.youtube.com/channel/UCp5XuGGZyQWEBrJpOq-DHdw,3 週間前,96回視聴,【スカッとする話】夫と車椅子で株主総会に行くと営業部長「歩けないゴミ女は帰れ」夫「誰に向かって口聞いてんだ？」営業部長「知らねぇよw早く失せろ」翌日、営業部長が泣きついてきて…w【朗読】【スカッと】,https://www.youtube.com/watch?v=obAOqTyVLak,100%
1684,【スカッとする話】東大卒の弟の結婚式に出席すると義母「中卒？差がすごいことw」直後、義母の元に弟が歩み寄り、弟「姉が誰だか知らないんですか？」私の正体を知り手のひら返し…w【朗読】【スカッと】,https://www.youtube.com/watch?v=wGvgplx2Ecw,3.6万回視聴 / 5 か月前,心温まる物語 5715,https://www.youtube.com/channel/UCp5XuGGZyQWEBrJpOq-DHdw,4 週間前,239回視聴,【スカッとする話】東大卒の弟の結婚式に出席すると義母「中卒？差がすごいことw」直後、義母の元に弟が歩み寄り、弟「姉が誰だか知らないんですか？」私の正体を知り手のひら返し…w【朗読】【スカッと】,https://www.youtube.com/watch?v=KLWsf1eDr3E,100%
1685,【スカッとする話】41歳で妊娠した私とお腹の子を捨て医学部女子大生と再婚した医者の夫「21歳の若い女が妊娠したから再婚する」30年後、病院で元夫と遭遇すると娘を見た元夫は…【スカッと】【朗読】,https://www.youtube.com/watch?v=4II62hEUDk8,6.5万回視聴 / 1 年前,心温まる物語 5721,https://www.youtube.com/channel/UCkGwIYpXYWf06yvm8Y5AQow,4 週間前,0 回視聴,【スカッとする話】41歳で妊娠した私とお腹の子を捨て医学部女子大生と再婚した医者の夫「21歳の若い女が妊娠したから再婚する」30年後、病院で元夫と遭遇すると娘を見た元夫は…【スカッと】【朗読】,https://www.youtube.com/watch?v=-FRphtFc-iw,94%
1686,【スカッとする話】不倫した夫と離婚して4日後、ホテルで豪遊する義母から電話。義母「カード使えなくなった！宿泊代30万振り込んでw」もう他人なので無視した結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=T3DS3QFl4gM,5.9万回視聴 / 2 か月前,心温まる物語 5721,https://www.youtube.com/channel/UCkGwIYpXYWf06yvm8Y5AQow,4 週間前,1 回視聴,【スカッとする話】不倫した夫と離婚して4日後、ホテルで豪遊する義母から電話。義母「カード使えなくなった！宿泊代30万振り込んでw」もう他人なので無視した結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=gbn5XDkjH3w,100%
1687,【スカッとする話】単身赴任の夫の誕生日にサプライズでケーキを買っていくと記入済みの離婚届が…私「そっか、じゃあ提出するか…」お望み通り提出し家を即売却→黙って海外移住した結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=mMMEJWwvWM0,3.2万回視聴 / 9 か月前,心温まる物語 5721,https://www.youtube.com/channel/UCkGwIYpXYWf06yvm8Y5AQow,3 週間前,2回視聴,【スカッとする話】単身赴任の夫の誕生日にサプライズでケーキを買っていくと記入済みの離婚届が…私「そっか、じゃあ提出するか…」お望み通り提出し家を即売却→黙って海外移住した結果w【朗読】【スカッと】,https://www.youtube.com/watch?v=K8EFC1eb3T0,100%
1688,【スカッとする話】正月、帰省の新幹線で、妊娠中の私を立ち席にした夫は「腰が痛い」と1人グリーン車へ。愛人の元へ向かったと知った私は、何も告げず新大阪で姿を消すとw【朗読】【スカッと】,https://www.youtube.com/watch?v=Lz3rc2N2XhM,4.7万回視聴 / 4 か月前,心温まる物語 5721,https://www.youtube.com/channel/UCkGwIYpXYWf06yvm8Y5AQow,4 週間前,1 回視聴,【スカッとする話】正月、帰省の新幹線で、妊娠中の私を立ち席にした夫は「腰が痛い」と1人グリーン車へ。愛人の元へ向かったと知った私は、何も告げず新大阪で姿を消すとw【朗読】【スカッと】,https://www.youtube.com/watch?v=HsebT_0Unsg,100%
1689,【スカッとする話】離婚届を見せ脅してくる夫「今すぐ俺にメシ作れ！逆らったら離婚するぞ！」息子が勝手に提出すると、急に夫がガクガク震え出しw【朗読】【スカッと】,https://www.youtube.com/watch?v=vyk34qyD3O0,4万回視聴 / 4 か月前,心温まる物語 5721,https://www.youtube.com/channel/UCkGwIYpXYWf06yvm8Y5AQow,3 週間前,0 回視聴,【スカッとする話】離婚届を見せ脅してくる夫「今すぐ俺にメシ作れ！逆らったら離婚するぞ！」息子が勝手に提出すると、急に夫がガクガク震え出しw【朗読】【スカッと】,https://www.youtube.com/watch?v=ulBVx1SYSSo,84%
1690,【スカッとする話】単身赴任中の私に夫から速達で離婚届…夫「息子も離婚して欲しいってw」私（やっと自由になれるw）大喜びして離婚届を提出し家を売り払い更地にするとw,https://www.youtube.com/watch?v=VrctjOjY0Ts,8.8万回視聴 / 1 年前,心結びストーリー,https://www.youtube.com/channel/UCFt9F-PPAsYtY9clF7nHA1Q,3 週間前,"1,538回視聴",【スカッとする話】単身赴任中の私に夫から速達で離婚届…夫「息子も離婚して欲しいってw」私（やっと自由になれるw）大喜びして離婚届を提出し家を売り払い更地にし携帯も解約するとw,https://www.youtube.com/watch?v=3UN8GzW--Gw,96%
1691,【スカッとする話】義母を10年介護している私に夫「離婚してくれ…老後もお前と一緒は無理…」私「じゃあ介護と嫁辞めるね」即離婚して沖縄に引越すと夫から鬼電→携帯解約し永久に無視した結果w【朗読】,https://www.youtube.com/watch?v=tfbycPtFjbg,17万回視聴 / 11 か月前,忘れられない人生,https://www.youtube.com/channel/UCBORNx2tI6AKOxEXvFbqkHQ,3 か月前,1 回視聴,義母を10年介護している私に夫「離婚してくれ老後もお前と一緒は無理だ」私「じゃあ介護と嫁を辞めるね」即離婚して引越すと夫から鬼電→携帯解約し永久に無視した結果,https://www.youtube.com/watch?v=mv3rrJ_1B6Q,97%
1692,【スカッとする話】13年前に医者の婚約者を奪った親友と再会「36歳で独身とか賞味期限切れねw私の旦那はイケメンで天才よw」→私「じゃうちの夫も紹介するね」夫を呼ぶと親友が半狂乱にw,https://www.youtube.com/watch?v=YWd1vzAgHB8,8万回視聴 / 2 年前,忘却の家 5454,https://www.youtube.com/channel/UCU4rxzNFWBeGjdH3HY-dOOw,3 週間前,0 回視聴,【スカッとする話】13年前に医者の婚約者を奪った親友と再会「36歳で独身とか賞味期限切れねw私の旦那はイケメンで天才よw」→私「じゃうちの夫も紹介するね」夫を呼ぶと親友が半狂乱にw,https://www.youtube.com/watch?v=RGnPpTMmIoQ,100%
1693,【スカッとする話】亡くなった元夫の保険金3000万で新築一軒屋を建てた夫「母さんに家買ったｗ逆らうなら離婚だw」私「わかりました。いいけど後悔するよ？」夫「しねぇよw」→1ヶ月後...【修羅場】,https://www.youtube.com/watch?v=dW-opdxTbYQ,11万回視聴 / 3 年前,忘却の家 5454,https://www.youtube.com/channel/UCU4rxzNFWBeGjdH3HY-dOOw,3 週間前,0 回視聴,【スカッとする話】亡くなった元夫の保険金3000万で新築一軒屋を建てた夫「母さんに家買ったｗ逆らうなら離婚だw」私「わかりました。いいけど後悔するよ？」夫「しねぇよw」→1ヶ月後...【修羅場】,https://www.youtube.com/watch?v=Nj7-Xt1Fu3c,100%
1694,【スカッとする話】余命半年と宣告された私に夫「保険金3000万楽しみだ！仕事も辞めちゃおうかなw」私（受け取れるわけないのにw）半年後、夫が半狂乱にw【朗読】【スカッと】,https://www.youtube.com/watch?v=292Mju-11jU,4.2万回視聴 / 1 年前,忘却の家 5454,https://www.youtube.com/channel/UCU4rxzNFWBeGjdH3HY-dOOw,3 週間前,1 回視聴,【スカッとする話】余命半年と宣告された私に夫「保険金3000万楽しみだ！仕事も辞めちゃおうかなw」私（受け取れるわけないのにw）半年後、夫が半狂乱にw【朗読】【スカッと】,https://www.youtube.com/watch?v=6mL2i-OqUYo,95%
1695,【スカッとする話】夫「引越しは済んだか？」私「今日中に出ていくわ」ATM扱いされ家を追い出された私。1ヶ月後、夫が血相を変えて鬼電してきて...【修羅場】,https://www.youtube.com/watch?v=mRlS0rHQ-lY,12万回視聴 / 3 年前,忘却の家 5454,https://www.youtube.com/channel/UCU4rxzNFWBeGjdH3HY-dOOw,3 週間前,3回視聴,【スカッとする話】夫「引越しは済んだか？」私「今日中に出ていくわ」ATM扱いされ家を追い出された私。1ヶ月後、夫が血相を変えて鬼電してきて...【修羅場】,https://www.youtube.com/watch?v=MULh46MFSak,100%
1696,【スカッとする話】母の葬式にも出ず私と高1の娘を捨てて浮気女と駆け落ちした夫「ガキはお前にやるからよろしくw」3日後、血相を変えた夫から23件の鬼電→娘「あんた誰？」,https://www.youtube.com/watch?v=6d_twanH4wg,9.1万回視聴 / 2 年前,忘却の家 5454,https://www.youtube.com/channel/UCU4rxzNFWBeGjdH3HY-dOOw,4 週間前,1 回視聴,【スカッとする話】母の葬式にも出ず私と高1の娘を捨てて浮気女と駆け落ちした夫「ガキはお前にやるからよろしくw」3日後、血相を変えた夫から23件の鬼電→娘「あんた誰？」,https://www.youtube.com/watch?v=pVXKOu3vOe8,100%
1697,【スカッとする話】私が在宅ワークに切り替え6年介護した寝たきりの義父「遺産6億は全て長男夫婦に渡したwお前には一銭も残さないw」→即出ていくと義父から鬼電が…w【朗読】【スカッと】,https://www.youtube.com/watch?v=FNCNvnaZXFw,18万回視聴 / 8 か月前,忘却の家 5454,https://www.youtube.com/channel/UCU4rxzNFWBeGjdH3HY-dOOw,3 週間前,3回視聴,【スカッとする話】私が在宅ワークに切り替え6年介護した寝たきりの義父「遺産6億は全て長男夫婦に渡したwお前には一銭も残さないw」→即出ていくと義父から鬼電が…w【朗読】【スカッと】,https://www.youtube.com/watch?v=leTL3vDbDmY,100%
1698,【スカッとする話】長男嫁のスマホに夫から着信。手を離せない長男嫁の代わりに私がスピーカーにして電話に出ると、嫁と勘違いした夫と長男がトンデモナイ会話をしはじめ…私は慌てて警察に通報した結果【修羅場】,https://www.youtube.com/watch?v=W_2WifFIdxI,6.1万回視聴 / 3 年前,怪盗大劇場,https://www.youtube.com/channel/UCQqsLRSl8nlMKoXQ9cBQOjw,3 年前,"1,207回視聴",【スカッと感動】娘のスマホに夫から着信。手を離せない娘の代わりに私がスピーカーにして電話に出ると、娘と勘違いした夫と義母がトンデモナイ会話をしはじめ…,https://www.youtube.com/watch?v=uDYQmWaMFn8,80%
1699,【スカッとする話】息子のために貯めた800万の進学資金を勝手に義母に渡した夫「ママが家買うから渡したw文句あるなら離婚！」私「OK」息子「今までありがとう！」夫「え？」【朗読】【スカッと】,https://www.youtube.com/watch?v=UMALXNxEZ8g,4.6万回視聴 / 1 か月前,恋と運命の物語,https://www.youtube.com/channel/UCqClp4Ge1tl6cG829flsguQ,1 か月前,47回視聴,息子のために貯めた800万の進学資金を勝手に義母に渡した夫「ママが家買うから渡したw文句あるなら離婚！」私「OK」息子「今までありがとう！」夫「え？」,https://www.youtube.com/watch?v=oKAP2losSDE,100%
1700,【スカッとする話】母の葬儀中に夫から電話「親戚の集まりなのにサボるな！親の葬儀とか知るか今すぐ来い」私「分かりました」喪服のまま駆け付けた結果ｗ,https://www.youtube.com/watch?v=wdxUcG1tem8,20万回視聴 / 2 年前,悠久の日本物語、Love in later life,,1 か月前,37回視聴,母の葬儀中に夫から電話「親戚の集まりなのにサボるな！親の葬儀とか知るか今すぐ来い」私「分かりました」喪服のまま駆け付けた結果ｗ,https://www.youtube.com/watch?v=VdMoB4jLY94,100%
1701,【スカッとする話】嫁いびり姑が大ケガで緊急搬送され救急隊員「家族の方ですか？」私「いえ、家族ではありません」他人扱いしてやった結果...【修羅場】,https://www.youtube.com/watch?v=ESVqacNH7Kw,3.2万回視聴 / 4 年前,悪人の末路,https://www.youtube.com/channel/UCKDr_34u3Plr5f--TCifU7g,1 か月前,1 回視聴,【スカッとする話】嫁いびり姑が大ケガで緊急搬送され救急隊員「家族の方ですか？」私「いえ、家族ではありません」他人扱いしてやった結果   【修羅場】,https://www.youtube.com/watch?v=VcPs9rKYK70,100%
1702,【スカッとする話】新築の我が家に勝手に同居し家事も一切しない姑。私が注意すると義母は「じゃあ嫁いびりしようか？w」と反論され...【修羅場】,https://www.youtube.com/watch?v=xKlBbOt_vvY,1.5万回視聴 / 4 年前,悪人の末路,https://www.youtube.com/channel/UCKDr_34u3Plr5f--TCifU7g,1 か月前,8回視聴,【スカッとする話】新築の我が家に勝手に同居し家事も一切しない姑。私が注意すると義母は「じゃあ嫁いびりしようか？w」と反論され   【修羅場】,https://www.youtube.com/watch?v=vqFK3AW0OuU,100%
1703,【スカッとする話】母が海で大ケガし緊急搬送！夫に病院に行くと相談するも「お前の母親より仕事が大事！逆らうなら離婚だ！」と離婚届を突きつけられたので、即提出してやった結果...【修羅場】,https://www.youtube.com/watch?v=SKo9NlLkMTQ,2.3万回視聴 / 4 年前,悪人の末路,https://www.youtube.com/channel/UCKDr_34u3Plr5f--TCifU7g,1 か月前,0 回視聴,【スカッとする話】母が海で大ケガし緊急搬送！夫に病院に行くと相談するも「お前の母親より仕事が大事！逆らうなら離婚だ！」と離婚届を突きつけられたので、即提出してやった結果   【修羅場】,https://www.youtube.com/watch?v=XTv36YxYdi4,100%
1704,【スカッとする話】姑の誕生会でも私を家政婦扱いする夫「バカ嫁さっさと料理出せ」義父「これ全部1人で！？」私「いつものことですから…」すると義父が豹変し…【修羅場】,https://www.youtube.com/watch?v=My7bUq_jaIs,11万回視聴 / 3 年前,愛してます,https://www.youtube.com/channel/UC6gNLfzMzauVJoWOjolWvuA,3 年前,0 回視聴,【スカッとする話】義母の誕生会でも家政婦扱いの私。姑「バカ嫁さっさと料理だせ」義父「これ全部一人で、ですか！？」→私「いつものことですから…」すると義父が豹変し…【修羅場】,https://www.youtube.com/watch?v=L4_hlHPDv2U,73%
1705,【スカッとする話】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました...」→キレた私が家を売り払うと...w,https://www.youtube.com/watch?v=yefpSXnGZOg,15万回視聴 / 3 年前,愛の物語,https://www.youtube.com/channel/UCr0uPYLsElR-PJVQ-kVsKHQ,1 年前,0 回視聴,【スカッと】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました   」→キレた私が家を売り払うとw,https://www.youtube.com/watch?v=_A0vxPbNh2Q,100%
1706,【スカッとする話】正月、母が危篤で実家に帰ると義母「ここが嫌なら実家で暮らせ」私の荷物を外に投げ捨てた。私「後で撤回なしですよ？」義母「するかw」→1週間後w【朗読】【スカッと】,https://www.youtube.com/watch?v=RWaATWML5EY,2.4万回視聴 / 3 か月前,愛の迷い道5054,https://www.youtube.com/channel/UCTykyrZHwZnNzsMtkeJ23Tw,1 か月前,16回視聴,正月、母が危篤で実家に帰ると義母「ここが嫌なら実家で暮らせ」私の荷物を外に投げ捨てた。私「後で撤回なしですよ？」義母「するかw」→1週間後w,https://www.youtube.com/watch?v=xvKdhcaN0fM,83%
1707,【スカッとする話】18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=gWWRbmvBG_A,3.4万回視聴 / 1 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,3 週間前,1 回視聴,【スカッと総集編】18年間家賃を払ってきた私を罵倒する同居の長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=qbWsNmrM-kM,98%
1708,【スカッとする話】体調不良でパートを早退し家に帰ると夫が義母と真っ最中...私「お義父さん、大変です！」義父をその場に凸させた結果w,https://www.youtube.com/watch?v=F74TRQPted4,23万回視聴 / 2 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,3 週間前,0 回視聴,【スカッとする話】体調不良でパートを早退し家に帰ると夫が義母と真っ最中...私「お義父さん、大変です！」義父をその場に凸させた結果w,https://www.youtube.com/watch?v=KBXbnqmHN3c,100%
1709,【スカッとする話】夫「今日から長男夫婦と孫と同居する！」長男嫁「ババァは家から出てけw」私（私が生活費33万払ってるのに）翌日、業者に電話して家具家電を回収→1億の高級タワマンに引越した結果w,https://www.youtube.com/watch?v=M2hAF-Scj3M,16万回視聴 / 2 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,3 週間前,2回視聴,【スカッとする話】夫「今日から長男夫婦と孫と同居する！」長男嫁「ババァは家から出てけw」私（私が生活費33万払ってるのに）翌日、業者に電話して家具家電を回収→1億の高級タワマンに引越した結果w,https://www.youtube.com/watch?v=bhepKbIxpRg,100%
1710,【スカッとする話】私名義のマンションとは知らず私を追い出す長男嫁「お義母さんの全部が気に入らない！家族だけで暮らすから出てけ！」稼ぎ頭の私「じゃあ出ていきます」家の私物を全て回収し、家賃だけ残した結果,https://www.youtube.com/watch?v=k11Y7DA0DRk,12万回視聴 / 3 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,3 週間前,0 回視聴,【スカッとする話】私名義のマンションとは知らず私を追い出す長男嫁「お義母さんの全部が気に入らない！家族だけで暮らすから出てけ！」稼ぎ頭の私「じゃあ出ていきます」家の私物を全て回収し、家賃だけ残した結果,https://www.youtube.com/watch?v=ZVxHUwRoNIs,100%
1711,【スカッとする話】長男嫁から突然怒りの電話「お義父の介護費用、ちょっとはお義母さんも払ってください！」私「え？私に夫はいませんが」長男嫁「え？」実は…【修羅場】【スカッと】,https://www.youtube.com/watch?v=0AsFooilZ4k,12万回視聴 / 3 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,3 週間前,0 回視聴,【スカッとする話】長男嫁から突然怒りの電話「お義父の介護費用、ちょっとはお義母さんも払ってください！」私「え？私に夫はいませんが」長男嫁「え？」実は…【修羅場】【スカッと】,https://www.youtube.com/watch?v=CCIRnrfrTtg,100%
1712,【スカッと総集編】夫「長男夫婦と孫と同居する」長男嫁「ババァは家から出てけ」私（私が生活費33万払ってるのに）翌日、業者に電話して家具家電を回収→1億の高級タワマンに引越した結果w【スカッと】【朗読】,https://www.youtube.com/watch?v=PMr_BteIB_k,7.5万回視聴 / 1 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,3 週間前,2回視聴,【スカッとする話】夫「今日から長男夫婦と孫と同居する！」長男嫁「ババァは家から出てけw」私（私が生活費33万払ってるのに）翌日、業者に電話して家具家電を回収→1億の高級タワマンに引越した結果w,https://www.youtube.com/watch?v=bhepKbIxpRg,97%
1713,【スカッと総集編】愛人と不倫した夫と離婚すると義母「3日以内に引越してねw」夫「離婚届出したから早く消えろw」3分後、21台の高級車が停車し→女優の母「帰るわよ！」,https://www.youtube.com/watch?v=3f9yDbpT0Gc,6.5万回視聴 / 1 年前,愛憎の交差点 5648,https://www.youtube.com/channel/UCZ27s-bExyb-zcqGkYvoicQ,2 週間前,2回視聴,【スカッと総集編】愛人と不倫した夫と離婚すると義母「3日以内に引越してねw」夫「離婚届出したから早く消えろw」3分後、21台の高級車が停車し→女優の母「帰るわよ！」,https://www.youtube.com/watch?v=3ND6uDwDZ-o,100%
1714,【スカッとする話】0歳児を我が家の玄関に置き、義妹「1年前から娘の世話ありがとw生後3ヶ月から頼んだしもう歩ける？」私「え？私も1年間、里帰り中だけど…」義妹「え？」結果w,https://www.youtube.com/watch?v=i6EwUdJi1Ek,9463回視聴 / 1 年前,愛憎の十字路 5434,https://www.youtube.com/channel/UCIrSkm9Z15Girl7kaWJyFOA,3 週間前,1 回視聴,【スカッとする話】0歳児を我が家の玄関に置き、義妹「1年前から娘の世話ありがとw生後3ヶ月から頼んだしもう歩ける？」私「え？私も1年間、里帰り中だけど…」義妹「え？」結果w,https://www.youtube.com/watch?v=hw2B4qfxjN4,100%
1715,【スカッとする話】夫「お前の部屋は両親に譲る。2人を介護するから頼むな」私「はーい（何も知らないのねw）」翌日、義両親が引越してくると夫は半狂乱→私と娘は大爆笑wだって…,https://www.youtube.com/watch?v=I0YiB-VENsY,1.3万回視聴 / 1 年前,愛憎の十字路 5434,https://www.youtube.com/channel/UCIrSkm9Z15Girl7kaWJyFOA,3 週間前,0 回視聴,【スカッとする話】夫「お前の部屋は両親に譲る。2人を介護するから頼むな」私「はーい（何も知らないのねw）」翌日、義両親が引越してくると夫は半狂乱→私と娘は大爆笑wだって…,https://www.youtube.com/watch?v=dlg95j0QTc0,100%
1716,【スカッとする話】夫の出張中に突然離婚届を持ってきた義母「寄生虫は離婚して失せろw」私「喜んで！」義母「強がっちゃってw」即離婚すると半狂乱の義母がw,https://www.youtube.com/watch?v=yFas1_iynzg,2.9万回視聴 / 1 年前,愛憎の十字路 5434,https://www.youtube.com/channel/UCIrSkm9Z15Girl7kaWJyFOA,3 週間前,1 回視聴,【スカッとする話】夫の出張中に突然離婚届を持ってきた義母「寄生虫は離婚して失せろw」私「喜んで！」義母「強がっちゃってw」即離婚すると半狂乱の義母がw,https://www.youtube.com/watch?v=VHZI9EqSar0,100%
1717,【スカッとする話】姑が私の持ち家をリフォームすることになり完成すると姑が「アンタと母親は４畳の物置部屋ねｗ」義姉「嫌なら出てけｗ」→私「じゃあ出て行くわ」母と結託し、家を売却し引っ越した結果【修羅場】,https://www.youtube.com/watch?v=XcJWa6kefac,4.4万回視聴 / 3 年前,愛憎の十字路 5434,https://www.youtube.com/channel/UCIrSkm9Z15Girl7kaWJyFOA,3 週間前,5回視聴,【スカッとする話】姑が私の持ち家をリフォームすることになり完成すると姑が「アンタと母親は４畳の物置部屋ねｗ」義姉「嫌なら出てけｗ」→私「じゃあ出て行くわ」母と結託し、家を売却し引っ越した結果【修羅場】,https://www.youtube.com/watch?v=nc7Hxq5hRrU,100%
1718,【スカッとする話】私の車のアクセルにこっそり手を加える夫。私（知らないふりしよw）翌日、車を義両親に貸し出すと、夫「ま、待ってくれ…」実はw【朗読】【スカッと】,https://www.youtube.com/watch?v=lRIrN83xkSc,6.2万回視聴 / 2 か月前,愛憎の十字路 5434,https://www.youtube.com/channel/UCIrSkm9Z15Girl7kaWJyFOA,4 週間前,1 回視聴,【スカッとする話】私の車のアクセルにこっそり手を加える夫。私（知らないふりしよw）翌日、車を義両親に貸し出すと、夫「ま、待ってくれ…」実はw【朗読】【スカッと】,https://www.youtube.com/watch?v=9cj7a6LZ998,100%
1719,【スカッとする話】私名義の4LDKマンションと知らず、強引に私を追い出す姑と義姉「家は貰う！寄生虫は出て行け！」稼ぎ頭の私「わかりました…」→私物を全て回収し、家賃30万の家だけ残した結果w【修羅場】,https://www.youtube.com/watch?v=NAEwCqwiBcg,6.7万回視聴 / 3 年前,愛憎の十字路 5434,https://www.youtube.com/channel/UCIrSkm9Z15Girl7kaWJyFOA,3 週間前,6回視聴,【スカッとする話】私名義の4LDKマンションと知らず、強引に私を追い出す姑と義姉「家は貰う！寄生虫は出て行け！」稼ぎ頭の私「わかりました…」→私物を全て回収し、家賃30万の家だけ残した結果w【修羅場】,https://www.youtube.com/watch?v=MePdVIpLOAA,100%
1720,【スカッとする話】夫と義両親から13年間も嫌われ続けた私。ある日、離婚届を置いて引っ越すと、ボロボロの夫と義両親から鬼電が→私（やっと気づいたかw）実は...,https://www.youtube.com/watch?v=Wk9S9SoTHxU,9.2万回視聴 / 3 年前,感動あらいぐま,https://www.youtube.com/channel/UCArxrh4JYTcQAnX2-gtpgUw,2 年前,0 回視聴,【スカッと】夫と義両親から13年間も嫌われ続けた私。ある日、私は離婚届をそっと置いて引っ越すと、ボロボロの夫と義両親から鬼電→私（やっと気づいたのねw）実は…,https://www.youtube.com/watch?v=morcrC3Kui8,93%
1721,【スカッとする話】婚約者を略奪した親友から結婚式の招待状が届くと、長男「嫁と2人で行ってくる」長男嫁「盛大に暴れてきます」普段温厚な長男夫婦が...w,https://www.youtube.com/watch?v=mLYItA9m_XY,9.8万回視聴 / 2 年前,感動うるる,https://www.youtube.com/channel/UCLKMXfL0jKnVGitP6mr1XGw,1 年前,0 回視聴,【スカッと】私の婚約者を略奪した親友から結婚式の招待状が届くと、長男「嫁と2人で行ってくる」長男嫁「盛大に暴れてきますねw」普段温厚な長男夫婦が…w【修羅場】,https://www.youtube.com/watch?v=N6Zu3yIwEks,97%
1722,【スカッとする話】孫の七五三のお祝いに親戚一同と行くと私だけ席がない...長男嫁「他人の席は無いから立ってればw」私「じゃ帰るか」親戚一同「うん」全員で帰宅した結果w,https://www.youtube.com/watch?v=bI91wh-7IMg,19万回視聴 / 2 年前,感動うるる,https://www.youtube.com/channel/UCLKMXfL0jKnVGitP6mr1XGw,1 年前,0 回視聴,【スカッと】孫の七五三のお祝いに親戚一同と行くと私だけ席がない…長男嫁「他人の席は無いから立ってればw」私「じゃ帰るか」親戚一同「うん」全員で帰宅した結果w【修羅場】,https://www.youtube.com/watch?v=GL1d9WaEk8Q,100%
1723,【スカッとする話】私の実家が総資産29億と知らず勝手に離婚届を提出した夫から復縁要請「早く俺の子供産んでくれよw」私「え？もう再婚したけど？」夫「え？」,https://www.youtube.com/watch?v=TyYvPQaleJU,7.8万回視聴 / 2 年前,感動うるる,https://www.youtube.com/channel/UCLKMXfL0jKnVGitP6mr1XGw,1 年前,0 回視聴,【スカッと】私の実家が総資産26億と知らず勝手に離婚届を提出した夫から復縁要請「早く俺の子供産んでくれよw」私「え？もう再婚したけど？」夫「え？」【修羅場】,https://www.youtube.com/watch?v=BwD7cyMEBMg,98%
1724,【スカッとする話】高熱で病院へ行く娘を降ろし義両親とのハワイ旅行に行った夫「病院は歩いて行けるだろw」2時間後、半狂乱の夫から鬼電→夫「た、助けて下さい！」,https://www.youtube.com/watch?v=UiZsY3yFtBw,11万回視聴 / 2 年前,感動うるる,https://www.youtube.com/channel/UCLKMXfL0jKnVGitP6mr1XGw,1 年前,0 回視聴,【スカッと】高熱で病院へ行く娘を降ろし義両親とのハワイ旅行に行った夫「病院は歩いて行けるだろw」3時間後、半狂乱の夫から鬼電→夫「た、助けて下さい！」【修羅場】,https://www.youtube.com/watch?v=wiNOe_vPY_w,98%
